"","ID","Bacino","name","Volume_Teorico","Anno","Mese","volume","PP","TM","Area_mq","PP_Perc"
"136",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2018,"Feb",20.24,968.873411478821,279.783735275269,135704400.000001,7.13958730504549e-06
"137",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2018,"Feb",15.6,1969.85270023452,276.829083488101,158796399.999993,1.24048952006129e-05
"138",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2018,"Feb",162.33,18139.4137192458,278.774880101858,1900508800.0001,9.54450393454891e-06
"139",17,"Coghinas","BIDIGHINZU",10.9,2019,"Feb",10.48,246.028043950896,280.341572938647,51058399.9999997,4.81856156775178e-06
"140",15,"Coghinas","CASTELDORIA",2.9,2019,"Feb",1.6,11692.52958649,280.505938995253,2392169600.00004,4.88783470306194e-06
"141",18,"Coghinas","CUGA",20.4,2019,"Feb",20.56,209.381044092073,281.390432986584,59335200.0000003,3.52878298366015e-06
"142",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2019,"Feb",69.56,460.069636838887,281.031511540815,135704400.000001,3.39023374952385e-06
"143",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2019,"Feb",35.08,1049.05055080235,278.827680185932,158796399.999993,6.60626154498716e-06
"144",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2019,"Feb",201.48,9287.79090390308,280.299969187875,1900508800.0001,4.88700231427636e-06
"145",17,"Coghinas","BIDIGHINZU",10.9,2020,"Feb",8.91,5.78621904904666,282.651899285152,51058399.9999997,1.13325506656039e-07
"146",15,"Coghinas","CASTELDORIA",2.9,2020,"Feb",2.07,182.103535187085,282.927750042356,2392169600.00004,7.61248429823211e-08
"147",18,"Coghinas","CUGA",20.4,2020,"Feb",19.81,4.28247833515291,283.353486392479,59335200.0000003,7.21743305011677e-08
"148",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2020,"Feb",76.24,13.1173362340052,283.150542432075,135704400.000001,9.66610974589263e-08
"149",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2020,"Feb",31.03,8.84675438288493,281.098251628444,158796399.999993,5.57113031711383e-08
"150",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2020,"Feb",152.88,150.889096548492,282.734060615966,1900508800.0001,7.9394053081198e-08
"151",17,"Coghinas","BIDIGHINZU",10.9,2021,"Feb",10.78,625.424834325848,282.951845709483,51058399.9999997,1.22492055043999e-05
"152",15,"Coghinas","CASTELDORIA",2.9,2021,"Feb",1.64,23109.1579611122,282.908550602153,2392169600.00004,9.66033426773411e-06
"153",18,"Coghinas","CUGA",20.4,2021,"Feb",21.15,646.161957788368,283.618577768514,59335200.0000003,1.08900274674791e-05
"154",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2021,"Feb",77.3,1758.69991834042,283.407109983675,135704400.000001,1.29597855216221e-05
"155",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2021,"Feb",33.52,1693.72767483406,280.952221425925,158796399.999993,1.0666033202479e-05
"156",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2021,"Feb",176.86,19209.1336204172,282.698844881895,1900508800.0001,1.01073636809344e-05
"157",17,"Coghinas","BIDIGHINZU",10.9,2009,"Mar",10.22,395.446085132597,281.900874238373,51058399.9999997,7.74497604963335e-06
"158",15,"Coghinas","CASTELDORIA",2.9,2009,"Mar",1.5,16347.121702792,282.152748044044,2392169600.00004,6.83359645686983e-06
"159",18,"Coghinas","CUGA",20.4,2009,"Mar",25.71,546.340614505183,282.706594418257,59335200.0000003,9.20769820452581e-06
"160",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2009,"Mar",61.28,1402.68930629029,282.564861663616,135704400.000001,1.03363583368725e-05
"161",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2009,"Mar",71.61,1137.64855560948,280.21011775027,158796399.999993,7.16419613800775e-06
"162",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2009,"Mar",196.74,13071.6419860709,281.956048074748,1900508800.0001,6.87796972372356e-06
"163",17,"Coghinas","BIDIGHINZU",10.9,2010,"Mar",10.68,450.64591020852,282.463356653849,51058399.9999997,8.82608758222982e-06
"164",15,"Coghinas","CASTELDORIA",2.9,2010,"Mar",1.56,19003.3483855151,282.734746801473,2392169600.00004,7.94398038730815e-06
"165",18,"Coghinas","CUGA",20.4,2010,"Mar",25.95,524.216600136917,283.182065596159,59335200.0000003,8.83483328845128e-06
"166",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2010,"Mar",74.52,1077.92148860204,283.075244908297,135704400.000001,7.94315798604933e-06
"167",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2010,"Mar",70.59,1613.48068504721,280.772680028404,158796399.999993,1.01606880574578e-05
"168",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2010,"Mar",208.47,14459.9871180705,282.558168675161,1900508800.0001,7.60848206441861e-06
"169",17,"Coghinas","BIDIGHINZU",10.9,2011,"Mar",10.7,745.328753719641,281.767173032863,51058399.9999997,1.4597573635673e-05
"170",15,"Coghinas","CASTELDORIA",2.9,2011,"Mar",1.89,41742.3145963531,281.908480821162,2392169600.00004,1.74495631899813e-05
"171",18,"Coghinas","CUGA",20.4,2011,"Mar",26.43,940.665266039195,282.690236052962,59335200.0000003,1.58534102192154e-05
"172",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2011,"Mar",74.65,1764.02124880725,282.521982954986,135704400.000001,1.29989981813946e-05
"173",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2011,"Mar",70.74,3790.75550952455,279.954624460667,158796399.999993,2.387179753146e-05
"174",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2011,"Mar",217.25,34563.1300687538,281.707520456929,1900508800.0001,1.81862510022326e-05
"175",17,"Coghinas","BIDIGHINZU",10.9,2012,"Mar",8.13,95.6223642951772,284.452737291398,51058399.9999997,1.87280377558204e-06
"176",15,"Coghinas","CASTELDORIA",2.9,2012,"Mar",1.35,5552.91974296951,284.66379181445,2392169600.00004,2.32129015558488e-06
"177",18,"Coghinas","CUGA",20.4,2012,"Mar",8.19,97.2474542593741,285.15327267138,59335200.0000003,1.63895047559246e-06
"178",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2012,"Mar",59.2,272.654073622779,284.973759700879,135704400.000001,2.00917636880438e-06
"179",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2012,"Mar",47.66,474.102345526208,282.888767391589,158796399.999993,2.98559882671289e-06
"180",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2012,"Mar",143.57,4894.27547364347,284.500461018238,1900508800.0001,2.57524483635288e-06
"181",17,"Coghinas","BIDIGHINZU",10.9,2013,"Mar",10.9,928.775445669936,282.345077531056,51058399.9999997,1.81904533959141e-05
"182",15,"Coghinas","CASTELDORIA",2.9,2013,"Mar",3.47,50869.7791726186,282.466520320242,2392169600.00004,2.12651223277052e-05
"183",18,"Coghinas","CUGA",20.4,2013,"Mar",28.11,1100.39733879915,283.266968997675,59335200.0000003,1.85454391120135e-05
"184",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2013,"Mar",76.33,1996.76560971536,283.157782594856,135704400.000001,1.47140815604752e-05
